date,code,open,high,low,close,volume,foreign_net,prop_net,dealer_net,total_net
20260326,6205,60.2,60.7,55.7,55.7,2110543.0,-10000.0,0.0,-28237.0,-38237.0
20260326,6205,60.2,60.7,55.7,55.7,2110543.0,-10000.0,0.0,-28237.0,-38237.0
20260326,6205,60.2,60.7,55.7,55.7,2110543.0,-10000.0,0.0,-28237.0,-38237.0
20260326,6205,60.2,60.7,55.7,55.7,2110543.0,-10000.0,0.0,-28237.0,-38237.0
20260326,6206,102.0,102.5,100.5,101.0,339173.0,-4000.0,0.0,-12660.0,-16660.0
20260326,6206,102.0,102.5,100.5,101.0,339173.0,-4000.0,0.0,-12660.0,-16660.0
20260326,6206,102.0,102.5,100.5,101.0,339173.0,-4000.0,0.0,-12660.0,-16660.0
20260326,6206,102.0,102.5,100.5,101.0,339173.0,-4000.0,0.0,-12660.0,-16660.0
20260326,6209,53.9,54.2,51.8,51.8,1925508.0,-149005.0,-2000.0,-19796.0,-170801.0
20260326,6213,145.5,151.5,143.5,144.0,17030117.0,1028267.0,-113.0,276030.0,1304184.0
20260326,6214,110.0,110.0,109.0,109.0,273070.0,20000.0,-139.0,-1230.0,18631.0
20260326,6215,105.5,105.5,101.5,101.5,679103.0,-74198.0,0.0,-10394.0,-84592.0
20260326,6226,13.5,13.5,12.45,12.45,1351513.0,13000.0,0.0,0.0,13000.0
20260326,6235,48.25,48.25,46.8,46.8,337106.0,-37000.0,0.0,-1103.0,-38103.0
20260326,6239,207.5,211.5,198.5,198.5,9439423.0,-1837278.0,-7270.0,-215378.0,-2059926.0
20260326,6257,139.5,150.5,137.0,146.0,26942904.0,5130954.0,-14216.0,1155262.0,6272000.0
20260326,6269,61.8,63.1,61.2,61.2,1684291.0,402999.0,0.0,51797.0,454796.0
20260326,6271,153.0,156.5,148.0,148.0,3240479.0,-276170.0,-93.0,-87277.0,-363540.0
20260326,6278,97.3,97.5,95.5,96.0,931561.0,-332000.0,125884.0,-11586.0,-217702.0
20260326,6282,49.1,52.5,48.95,49.4,36539426.0,3547045.0,-12457.0,835367.0,4369955.0
20260326,6285,183.0,190.0,172.0,172.0,36677434.0,-5546939.0,-2208.0,-20281.0,-5569428.0
20260326,6405,30.35,32.75,30.05,31.6,1451230.0,-272000.0,0.0,738.0,-271262.0
20260326,6409,758.0,768.0,740.0,740.0,453322.0,-96631.0,-17.0,-1855.0,-98503.0
20260326,6412,77.9,78.6,77.2,77.3,617800.0,-22200.0,-1163.0,1686.0,-21677.0
20260326,6414,267.5,271.0,265.5,266.0,486806.0,14000.0,-35.0,1043.0,15008.0
20260326,6415,296.5,320.0,294.5,296.0,8757385.0,670991.0,63890.0,-65057.0,669824.0
20260326,6426,151.0,155.5,144.5,144.5,265540.0,20000.0,0.0,11000.0,31000.0
20260326,6438,182.0,182.5,172.5,172.5,4578712.0,-99992.0,1000.0,-122110.0,-221102.0
20260326,6442,2085.0,2270.0,2070.0,2080.0,4770449.0,-478502.0,275500.0,-32551.0,-235553.0
20260326,6443,46.70000076293945,48.20000076293945,45.349998474121094,46.29999923706055,71671043.0,-3291226.0,0.0,-442208.0,-3733434.0
20260326,6449,160.0,162.0,154.5,154.5,291207.0,-56998.0,0.0,-8000.0,-64998.0
20260326,6451,319.0,350.5,319.0,332.0,3609053.0,472839.0,955.0,119665.0,593459.0
20260326,6456,61.4,63.6,60.5,60.5,6683250.0,122950.0,-116.0,-21349.0,101485.0
20260326,6477,35.75,36.45,34.85,34.85,600205.0,-146000.0,0.0,1249.0,-144751.0
20260326,6526,502.0,516.0,496.0,496.0,398186.0,-61721.0,19293.0,-11723.0,-54151.0
20260326,6531,514.0,531.0,509.0,509.0,4280781.0,-1168400.0,42948.0,-11240.0,-1136692.0
20260326,6533,193.5,193.5,184.0,184.0,442838.0,-64300.0,0.0,-5371.0,-69671.0
20260326,6658,70.0,73.0,69.0,69.1,1157459.0,-126000.0,0.0,-303.0,-126303.0
20260326,6669,3600.0,3645.0,3465.0,3465.0,4083329.0,-1179987.0,-35672.0,98141.0,-1117518.0
20260326,6672,129.65,136.98,127.2,127.69,13575590.0,-271020.0,0.0,14388.0,-256632.0
20260326,6691,618.0,618.0,590.0,590.0,1341860.0,-954041.0,-2756.0,-12017.0,-968814.0
20260326,6706,132.5,139.5,129.5,132.0,17754092.0,100354.0,-38.0,43105.0,143421.0
20260326,6715,325.0,333.5,322.0,322.0,465121.0,202000.0,-36.0,-22274.0,179690.0
20260326,6770,65.30000305175781,67.5,62.79999923706055,62.79999923706055,287952826.0,-30849668.0,108156.0,-641486.0,-31382998.0
